indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
2400E,2026-07-28 00:00:00+00:00,35.1,24.9,31.53,30.0,29.0,20.2,16.0,2.82,8.5,0.0,0.0,,13,False
2401X,2026-07-28 00:00:00+00:00,36.5,20.8,31.15,28.65,47.0,29.3,19.0,1.38,6.9,0.0,0.0,,13,False
2422,2026-07-28 00:00:00+00:00,37.6,24.7,33.57,31.15,28.0,14.9,8.0,1.24,7.4,0.0,0.0,535.5,13,False
2422X,2026-07-28 00:00:00+00:00,36.4,21.0,31.45,28.7,59.0,26.9,14.0,2.47,8.4,0.0,0.0,,13,False
2430Y,2026-07-28 00:00:00+00:00,34.0,26.1,31.38,30.05,28.0,22.8,20.0,3.71,10.2,0.0,0.0,,12,False
2444,2026-07-28 00:00:00+00:00,34.8,22.6,31.4,28.7,35.0,18.2,14.0,2.41,13.7,0.0,0.0,598.8,13,False
2453E,2026-07-28 00:00:00+00:00,36.5,32.4,34.84,34.45,20.0,18.6,17.0,3.0,11.5,0.0,0.0,,9,False
2456B,2026-07-28 00:00:00+00:00,38.2,29.1,34.98,33.65,20.0,13.0,10.0,1.94,6.9,0.0,0.0,,12,False
2462,2026-07-28 00:00:00+00:00,28.9,20.9,25.41,24.9,30.0,20.7,17.0,3.92,10.1,0.0,0.0,597.0,13,False
2465,2026-07-28 00:00:00+00:00,35.6,25.6,32.48,30.6,25.0,15.2,12.0,3.3,9.1,0.0,0.0,595.2,13,False
2491C,2026-07-28 00:00:00+00:00,25.4,20.6,23.45,23.0,33.0,25.9,19.0,3.63,9.7,0.0,0.0,616.0,13,False
2503B,2026-07-28 00:00:00+00:00,37.1,26.8,34.32,31.95,29.0,19.9,17.0,2.38,8.2,0.0,0.0,,12,False
2507Y,2026-07-28 00:00:00+00:00,37.3,27.2,34.51,32.25,30.0,19.6,15.0,2.19,6.7,0.0,0.0,,11,False
2512Y,2026-07-28 00:00:00+00:00,36.4,29.5,33.93,32.95,24.0,18.5,16.0,2.68,8.1,0.0,0.0,,11,False
2517A,2026-07-28 00:00:00+00:00,38.7,30.6,36.18,34.65,21.0,14.0,11.0,1.91,6.2,0.0,0.0,,9,False
2536D,2026-07-28 00:00:00+00:00,38.4,26.1,33.57,32.25,30.0,19.3,13.0,2.01,4.5,0.0,0.0,,13,False
2555B,2026-07-28 00:00:00+00:00,37.1,26.5,34.06,31.8,31.0,18.8,13.0,2.94,9.0,0.0,0.0,,11,False
2565,2026-07-28 00:00:00+00:00,37.1,25.8,33.3,31.45,38.0,23.4,18.0,2.12,6.5,0.0,0.0,,13,False
2568D,2026-07-28 00:00:00+00:00,33.2,25.9,31.81,29.55,30.0,21.8,16.0,3.36,15.6,0.0,0.0,,9,False
2593D,2026-07-28 00:00:00+00:00,37.4,22.8,33.02,30.1,38.0,23.3,16.0,2.3,9.0,0.0,0.0,,13,False
2604B,2026-07-28 00:00:00+00:00,36.7,25.4,33.26,31.05,33.0,21.8,15.0,1.96,8.3,0.0,0.0,,12,False
2611D,2026-07-28 00:00:00+00:00,36.8,25.6,33.13,31.2,35.0,24.2,19.0,1.88,8.7,0.0,0.0,,12,False
2614,2026-07-28 00:00:00+00:00,38.3,23.7,33.95,31.0,37.0,17.9,12.0,1.62,6.9,0.0,0.0,576.1,13,False
2624C,2026-07-28 00:00:00+00:00,32.6,20.0,28.49,26.3,58.0,34.7,22.0,1.87,10.2,0.0,0.0,,12,False
2626Y,2026-07-28 00:00:00+00:00,33.3,26.6,31.7,29.95,33.0,24.1,19.0,2.92,8.4,0.0,0.0,,9,False
2661,2026-07-28 00:00:00+00:00,33.8,22.6,30.45,28.2,31.0,18.2,13.0,3.06,9.8,0.0,0.0,595.0,13,False
2664B,2026-07-28 00:00:00+00:00,34.2,23.9,30.84,29.05,39.0,25.1,18.0,3.27,7.2,0.0,0.0,,12,False
2701D,2026-07-28 00:00:00+00:00,32.5,24.7,30.66,28.6,33.0,26.8,23.0,3.87,9.9,0.0,0.0,,9,False
2728B,2026-07-28 00:00:00+00:00,33.2,26.5,31.39,29.85,30.0,26.2,24.0,2.43,7.7,0.0,0.0,,10,False
2734D,2026-07-28 00:00:00+00:00,35.3,25.6,31.02,30.45,42.0,26.0,18.0,3.47,10.9,0.0,0.0,,13,False
2737E,2026-07-28 00:00:00+00:00,33.6,20.7,29.61,27.15,45.0,22.5,14.0,3.21,10.1,0.0,0.0,,13,False
2742R,2026-07-28 00:00:00+00:00,32.5,24.6,30.54,28.55,44.0,34.6,29.0,2.71,6.9,0.0,0.0,,9,False
2755X,2026-07-28 00:00:00+00:00,35.9,23.6,31.19,29.75,50.0,26.2,14.0,1.49,6.6,0.0,0.0,520.0,13,False
2766E,2026-07-28 00:00:00+00:00,32.6,16.1,26.28,24.35,80.0,55.7,31.0,0.68,5.4,0.0,0.0,,13,False
2775X,2026-07-28 00:00:00+00:00,35.4,24.1,31.12,29.75,38.0,22.5,15.0,2.38,8.8,0.0,0.0,588.0,13,False
2777K,2026-07-28 00:00:00+00:00,36.0,24.1,32.21,30.05,34.0,20.7,13.0,2.55,10.0,0.0,0.0,,12,False
2789H,2026-07-28 00:00:00+00:00,36.7,25.8,33.85,31.25,37.0,23.2,18.0,2.19,8.7,0.0,0.0,,10,False
2804F,2026-07-28 00:00:00+00:00,37.9,26.5,34.88,32.2,31.0,18.4,14.0,3.84,11.9,0.0,0.0,,9,False
2828Y,2026-07-28 00:00:00+00:00,33.3,20.6,30.01,26.95,52.0,22.7,14.0,3.22,9.4,0.0,0.0,,12,False
2847X,2026-07-28 00:00:00+00:00,35.7,21.2,32.12,28.45,44.0,23.7,18.0,3.03,10.3,0.0,0.0,,13,False
2863C,2026-07-28 00:00:00+00:00,37.0,31.1,34.64,34.05,20.0,16.7,14.0,2.44,8.9,0.0,0.0,,10,False
2867,2026-07-28 00:00:00+00:00,37.1,19.8,31.95,28.45,69.0,29.4,16.0,2.48,7.2,0.0,0.0,593.0,13,False
2870X,2026-07-28 00:00:00+00:00,37.8,22.8,32.89,30.3,42.0,19.7,11.0,2.29,8.6,0.0,0.0,,13,False
2873X,2026-07-28 00:00:00+00:00,36.9,24.7,33.46,30.8,35.0,21.3,16.0,2.48,9.0,0.0,0.0,,12,False
2882D,2026-07-28 00:00:00+00:00,36.0,26.1,31.78,31.05,26.0,18.6,14.0,2.96,9.2,0.0,0.0,,13,False
2885K,2026-07-28 00:00:00+00:00,37.3,23.8,33.17,30.55,33.0,20.4,15.0,3.37,12.6,0.0,0.0,,12,False
2891A,2026-07-28 00:00:00+00:00,38.5,26.7,35.17,32.6,34.0,21.4,16.0,3.6,10.4,0.0,0.0,,11,False
2914C,2026-07-28 00:00:00+00:00,36.1,30.0,34.46,33.05,21.0,15.6,13.0,3.25,8.9,0.0,0.0,,10,False
2916A,2026-07-28 00:00:00+00:00,37.4,23.8,32.72,30.6,41.0,18.8,12.0,3.3,10.0,0.0,0.0,511.0,13,False
2918Y,2026-07-28 00:00:00+00:00,33.8,21.8,30.63,27.8,38.0,24.5,20.0,3.65,10.6,0.0,0.0,,13,False
2926B,2026-07-28 00:00:00+00:00,36.7,26.7,33.82,31.7,41.0,22.5,18.0,3.02,11.8,0.0,0.0,,12,False
2930Y,2026-07-28 00:00:00+00:00,33.7,15.9,28.78,24.8,62.0,32.5,20.0,2.06,8.7,0.0,0.0,,13,False
2945A,2026-07-28 00:00:00+00:00,35.3,26.5,32.57,30.9,34.0,25.6,21.0,4.02,9.5,0.0,0.0,,12,False
2946X,2026-07-28 00:00:00+00:00,39.5,25.3,34.95,32.4,35.0,14.8,9.0,3.27,10.2,0.0,0.0,559.0,13,False
2966D,2026-07-28 00:00:00+00:00,36.1,26.6,32.65,31.35,37.0,23.4,17.0,3.18,10.0,0.0,0.0,,12,False
2969U,2026-07-28 00:00:00+00:00,35.1,27.1,33.0,31.1,33.0,26.4,22.0,,,0.0,0.0,,9,False
2978X,2026-07-28 00:00:00+00:00,39.2,23.7,35.82,31.45,40.0,23.0,16.0,,,0.0,0.0,,9,False
3013,2026-07-28 00:00:00+00:00,34.9,21.7,30.8,28.3,35.0,23.0,14.0,1.57,6.8,0.0,0.0,531.7,13,False
3021Y,2026-07-28 00:00:00+00:00,34.0,25.2,30.71,29.6,31.0,23.8,16.0,3.68,9.7,0.0,0.0,,12,False
3040X,2026-07-28 00:00:00+00:00,32.3,24.8,28.95,28.55,30.0,20.8,15.0,3.89,10.0,0.0,0.0,,13,False
3040Y,2026-07-28 00:00:00+00:00,34.7,28.2,32.56,31.45,24.0,18.5,14.0,,,0.0,0.0,,10,False
3094B,2026-07-28 00:00:00+00:00,38.9,27.4,34.38,33.15,28.0,15.3,9.0,2.55,7.8,0.0,0.0,461.0,13,False
3099Y,2026-07-28 00:00:00+00:00,38.2,28.3,34.49,33.25,41.0,24.3,19.0,2.12,7.2,0.0,0.0,,12,False
3100B,2026-07-28 00:00:00+00:00,38.8,28.5,34.92,33.65,38.0,21.5,15.0,2.05,6.6,0.0,0.0,,13,False
3103,2026-07-28 00:00:00+00:00,36.5,27.0,34.05,31.75,32.0,21.6,17.0,2.31,8.8,0.0,0.0,,10,False
3104Y,2026-07-28 00:00:00+00:00,34.5,20.1,30.65,27.3,50.0,26.5,18.0,1.21,6.0,0.0,0.0,,11,False
3110C,2026-07-28 00:00:00+00:00,34.3,20.0,30.17,27.15,42.0,24.2,18.0,2.38,8.7,0.0,0.0,,13,False
3111D,2026-07-28 00:00:00+00:00,31.3,22.9,27.85,27.1,30.0,25.5,22.0,2.93,8.4,0.0,0.0,,13,False
3121F,2026-07-28 00:00:00+00:00,35.8,25.3,32.28,30.55,29.0,20.7,15.0,2.78,8.6,0.0,0.0,,13,False
3125Y,2026-07-28 00:00:00+00:00,38.3,28.4,34.74,33.35,40.0,22.2,16.0,,,0.0,0.0,,12,False
3126Y,2026-07-28 00:00:00+00:00,35.1,26.5,32.56,30.8,41.0,24.2,19.0,1.4,7.6,0.0,0.0,,12,False
3129,2026-07-28 00:00:00+00:00,38.6,28.3,34.72,33.45,39.0,21.1,14.0,2.42,8.2,0.0,0.0,556.0,13,False
3129A,2026-07-28 00:00:00+00:00,38.6,28.1,34.48,33.35,38.0,19.2,13.0,1.75,6.8,0.0,0.0,,13,False
3130C,2026-07-28 00:00:00+00:00,34.3,19.3,30.17,26.8,44.0,21.1,13.0,1.72,7.6,0.0,0.0,315.0,13,False
3140Y,2026-07-28 00:00:00+00:00,36.3,28.0,33.52,32.15,37.0,23.2,19.0,,,0.0,0.0,,11,False
3158D,2026-07-28 00:00:00+00:00,33.2,20.6,28.57,26.9,34.0,23.2,19.0,3.46,10.0,0.0,0.0,,13,False
3168D,2026-07-28 00:00:00+00:00,37.8,27.4,34.14,32.6,40.0,20.3,13.0,2.15,8.1,0.0,0.0,581.4,13,False
3170Y,2026-07-28 00:00:00+00:00,39.3,29.4,36.46,34.35,40.0,24.3,19.0,1.94,7.6,0.0,0.0,,11,False
3182Y,2026-07-28 00:00:00+00:00,38.8,26.4,34.61,32.6,39.0,26.4,19.0,2.02,6.7,0.0,0.0,,13,False
3191E,2026-07-28 00:00:00+00:00,36.7,27.9,32.83,32.3,32.0,20.1,16.0,2.71,7.6,0.0,0.0,,13,False
3194U,2026-07-28 00:00:00+00:00,38.7,26.4,34.0,32.55,35.0,19.8,12.0,1.04,12.2,0.0,0.0,,13,False
3194Y,2026-07-28 00:00:00+00:00,37.6,28.7,34.55,33.15,39.0,24.5,18.0,,,0.0,0.0,,11,False
3195,2026-07-28 00:00:00+00:00,37.1,26.3,33.27,31.7,42.0,25.1,17.0,1.77,6.4,0.0,0.0,,13,False
3209Y,2026-07-28 00:00:00+00:00,35.3,27.0,33.14,31.15,41.0,23.8,19.0,,,0.0,0.0,,10,False
3229Y,2026-07-28 00:00:00+00:00,37.5,28.2,34.63,32.85,41.0,24.9,20.0,,,0.0,0.0,,12,False
3245Y,2026-07-28 00:00:00+00:00,38.7,28.4,36.01,33.55,41.0,21.7,15.0,,,0.0,0.0,,9,False
3254Y,2026-07-28 00:00:00+00:00,38.6,29.7,36.1,34.15,40.0,22.9,17.0,1.96,6.7,0.0,0.0,,10,False
3260B,2026-07-28 00:00:00+00:00,41.0,27.8,36.07,34.4,41.0,19.9,12.0,2.55,8.2,0.0,0.0,570.4,13,False
3266A,2026-07-28 00:00:00+00:00,29.7,24.5,27.48,27.1,32.0,26.0,23.0,3.76,10.2,0.0,0.0,,13,False
3268C,2026-07-28 00:00:00+00:00,36.5,25.5,32.69,31.0,32.0,23.6,19.0,1.71,7.2,0.0,0.0,,13,False
3305Y,2026-07-28 00:00:00+00:00,39.3,29.0,36.92,34.15,35.0,23.2,18.0,,,0.0,0.0,,9,False
3319D,2026-07-28 00:00:00+00:00,32.3,16.9,28.2,24.6,48.0,28.7,23.0,2.84,8.4,0.0,0.0,,12,False
3330Y,2026-07-28 00:00:00+00:00,35.3,26.0,32.79,30.65,38.0,22.2,17.0,,,0.0,0.0,,10,False
3337U,2026-07-28 00:00:00+00:00,36.6,25.6,33.21,31.1,30.0,23.5,19.0,2.01,8.5,0.0,0.0,,13,False
3338,2026-07-28 00:00:00+00:00,36.0,26.4,32.82,31.2,31.0,20.8,15.0,2.72,10.3,0.0,0.0,,13,False
3343Y,2026-07-28 00:00:00+00:00,36.9,27.2,33.18,32.05,38.0,24.4,18.0,2.22,7.5,0.0,0.0,,13,False
3365A,2026-07-28 00:00:00+00:00,40.6,25.0,34.19,32.8,51.0,29.9,16.0,1.35,7.7,0.0,0.0,514.0,13,False
3386A,2026-07-28 00:00:00+00:00,35.7,25.2,31.99,30.45,29.0,22.7,19.0,1.52,6.5,0.0,0.0,,13,False
3394X,2026-07-28 00:00:00+00:00,37.9,28.3,33.88,33.1,28.0,19.5,14.0,2.23,7.4,0.0,0.0,,13,False
3422D,2026-07-28 00:00:00+00:00,40.8,28.7,36.8,34.75,35.0,24.9,17.0,1.3,6.3,0.0,0.0,,12,False
3423I,2026-07-28 00:00:00+00:00,40.8,29.0,35.15,34.9,33.0,26.4,19.0,1.02,4.8,0.0,0.0,,13,False
3427Y,2026-07-28 00:00:00+00:00,41.2,30.9,37.73,36.05,40.0,24.9,19.0,,,0.0,0.0,,11,False
3434X,2026-07-28 00:00:00+00:00,41.1,25.2,35.35,33.15,41.0,25.1,16.0,2.24,7.2,0.0,0.0,499.0,13,False
3436D,2026-07-28 00:00:00+00:00,37.2,27.6,32.36,32.4,36.0,31.2,24.0,2.56,6.5,0.0,0.0,,12,False
3448X,2026-07-28 00:00:00+00:00,41.2,29.4,36.64,35.3,28.0,20.3,16.0,2.79,8.8,0.0,0.0,,13,False
3455X,2026-07-28 00:00:00+00:00,39.1,29.9,35.65,34.5,21.0,16.4,14.0,2.65,8.3,0.0,0.0,,13,False
3463Y,2026-07-28 00:00:00+00:00,38.3,31.3,35.45,34.8,19.0,16.3,13.0,3.29,9.5,0.0,0.0,,13,False
3469A,2026-07-28 00:00:00+00:00,39.7,31.1,36.44,35.4,21.0,16.5,14.0,3.41,10.7,0.0,0.0,608.6,13,False
3475X,2026-07-28 00:00:00+00:00,40.2,31.2,36.65,35.7,22.0,17.6,15.0,3.09,9.4,0.0,0.0,,13,False
3484X,2026-07-28 00:00:00+00:00,36.9,22.9,32.43,29.9,46.0,25.5,16.0,3.41,10.8,0.0,0.0,,13,False
3494U,2026-07-28 00:00:00+00:00,38.9,21.1,33.19,30.0,48.0,28.4,20.0,2.17,9.6,0.0,0.0,,13,False
3503,2026-07-28 00:00:00+00:00,39.6,27.5,35.85,33.55,31.0,22.5,18.0,2.68,9.1,0.0,0.0,,13,False
3504X,2026-07-28 00:00:00+00:00,35.7,24.8,32.17,30.25,35.0,23.9,16.0,2.79,8.7,0.0,0.0,,13,False
3512X,2026-07-28 00:00:00+00:00,40.0,30.0,36.98,35.0,38.0,24.3,19.0,2.57,7.8,0.0,0.0,,11,False
3514B,2026-07-28 00:00:00+00:00,35.0,24.9,31.32,29.95,37.0,27.8,22.0,3.36,10.8,0.0,0.0,,13,False
3516X,2026-07-28 00:00:00+00:00,31.3,21.3,27.96,26.3,40.0,32.8,28.0,1.91,7.7,0.0,0.0,,13,False
3518X,2026-07-28 00:00:00+00:00,40.3,27.8,35.26,34.05,39.0,26.2,18.0,3.05,10.9,0.0,0.0,,13,False
3526X,2026-07-28 00:00:00+00:00,40.6,28.9,36.05,34.75,27.0,17.2,13.0,2.57,7.7,0.0,0.0,598.0,13,False
3531X,2026-07-28 00:00:00+00:00,39.7,21.4,34.59,30.55,37.0,23.0,16.0,2.37,9.8,0.0,0.0,,13,False
3536X,2026-07-28 00:00:00+00:00,37.6,28.6,33.57,33.1,26.0,20.5,15.0,2.05,7.4,0.0,0.0,,13,False
3540X,2026-07-28 00:00:00+00:00,40.2,30.3,36.74,35.25,28.0,11.1,6.0,3.65,9.9,0.0,0.0,,13,False
3547X,2026-07-28 00:00:00+00:00,39.2,27.3,34.86,33.25,25.0,20.2,16.0,3.42,11.5,0.0,0.0,,13,False
3562X,2026-07-28 00:00:00+00:00,39.4,32.6,37.61,36.0,22.0,18.7,16.0,3.1,8.9,0.0,0.0,,11,False
3565X,2026-07-28 00:00:00+00:00,39.1,29.5,35.74,34.3,37.0,20.1,15.0,3.86,9.4,0.0,0.0,,13,False
3576X,2026-07-28 00:00:00+00:00,38.4,28.4,34.89,33.4,44.0,20.5,12.0,2.98,9.1,0.0,0.0,417.0,13,False
4007Y,2026-07-28 00:00:00+00:00,38.1,30.4,35.45,34.25,36.0,21.7,17.0,2.28,8.0,0.0,0.0,,11,False
4051Y,2026-07-28 00:00:00+00:00,36.4,28.8,34.09,32.6,36.0,22.9,18.0,2.49,8.9,0.0,0.0,,11,False
4061X,2026-07-28 00:00:00+00:00,38.7,27.1,34.75,32.9,40.0,24.6,18.0,1.73,7.2,0.0,0.0,,13,False
4064Y,2026-07-28 00:00:00+00:00,39.5,28.7,36.12,34.1,41.0,23.8,17.0,1.73,6.7,0.0,0.0,,12,False
4067,2026-07-28 00:00:00+00:00,38.0,26.8,34.54,32.4,38.0,17.0,11.0,2.45,8.0,0.0,0.0,571.0,13,False
4070Y,2026-07-28 00:00:00+00:00,34.6,26.0,31.04,30.3,39.0,29.0,22.0,2.87,8.6,0.0,0.0,,13,False
4075Y,2026-07-28 00:00:00+00:00,36.1,27.3,33.58,31.7,39.0,25.9,22.0,,,0.0,0.0,,9,False
4089A,2026-07-28 00:00:00+00:00,37.2,26.6,33.32,31.9,35.0,24.7,18.0,2.92,8.4,0.0,0.0,,13,False
4090Y,2026-07-28 00:00:00+00:00,36.3,27.3,33.07,31.8,33.0,23.0,17.0,3.83,9.5,0.0,0.0,583.0,13,False
4091Y,2026-07-28 00:00:00+00:00,36.5,26.4,33.42,31.45,43.0,26.3,20.0,3.52,11.0,0.0,0.0,,12,False
4093Y,2026-07-28 00:00:00+00:00,37.9,27.7,35.46,32.8,41.0,25.1,20.0,3.12,8.4,0.0,0.0,,10,False
4095Y,2026-07-28 00:00:00+00:00,36.3,28.3,33.97,32.3,39.0,25.3,20.0,3.29,10.6,0.0,0.0,,12,False
4096Y,2026-07-28 00:00:00+00:00,37.0,28.4,33.62,32.7,40.0,27.9,19.0,1.74,8.8,0.0,0.0,,11,False
4103X,2026-07-28 00:00:00+00:00,39.1,27.8,34.75,33.45,36.0,20.8,13.0,4.06,8.8,0.0,0.0,502.0,13,False
4116I,2026-07-28 00:00:00+00:00,39.6,27.6,36.22,33.6,29.0,17.3,13.0,,,0.0,0.0,,11,False
4121,2026-07-28 00:00:00+00:00,39.0,28.0,35.66,33.5,31.0,19.5,15.0,1.38,5.4,0.0,0.0,565.1,13,False
4138Y,2026-07-28 00:00:00+00:00,38.9,30.4,36.1,34.65,27.0,20.6,18.0,1.75,7.3,0.0,0.0,,11,False
4147X,2026-07-28 00:00:00+00:00,38.6,30.5,36.22,34.55,20.0,14.1,11.0,1.17,5.6,0.0,0.0,418.0,12,False
4148,2026-07-28 00:00:00+00:00,40.4,27.9,35.58,34.15,24.0,18.5,14.0,2.76,12.0,0.0,0.0,,13,False
4193Y,2026-07-28 00:00:00+00:00,39.8,31.0,37.24,35.4,,,,,,0.0,0.0,,10,False
4195E,2026-07-28 00:00:00+00:00,39.0,27.8,34.37,33.4,32.0,20.8,14.0,1.99,7.0,0.0,0.0,,13,False
4210Y,2026-07-28 00:00:00+00:00,39.8,26.7,34.95,33.25,31.0,23.0,17.0,1.75,6.5,0.0,0.0,,13,False
4220X,2026-07-28 00:00:00+00:00,40.7,28.2,36.4,34.45,24.0,16.7,13.0,1.93,7.0,0.0,0.0,,13,False
4236Y,2026-07-28 00:00:00+00:00,39.4,30.3,35.32,34.85,20.0,17.2,14.0,1.9,6.8,0.0,0.0,,13,False
4244X,2026-07-28 00:00:00+00:00,40.5,30.8,36.43,35.65,20.0,16.2,12.0,2.05,9.3,0.0,0.0,585.0,13,False
4245X,2026-07-28 00:00:00+00:00,38.3,25.7,33.67,32.0,30.0,22.5,17.0,1.76,7.2,0.0,0.0,,13,False
4260,2026-07-28 00:00:00+00:00,38.1,27.8,34.85,32.95,31.0,22.2,19.0,3.52,9.6,0.0,0.0,,13,False
4263X,2026-07-28 00:00:00+00:00,38.3,31.0,35.75,34.65,25.0,18.5,15.0,3.83,12.2,0.0,0.0,,11,False
4267X,2026-07-28 00:00:00+00:00,38.9,27.7,34.96,33.3,27.0,18.2,13.0,3.23,7.9,0.0,0.0,,13,False
4300Y,2026-07-28 00:00:00+00:00,41.8,31.0,36.33,36.4,21.0,15.2,11.0,2.1,7.7,0.0,0.0,,13,False
4325Y,2026-07-28 00:00:00+00:00,39.5,31.8,36.28,35.65,21.0,15.3,12.0,4.05,10.6,0.0,0.0,,13,False
4339X,2026-07-28 00:00:00+00:00,38.6,26.8,34.71,32.7,31.0,23.1,17.0,2.12,7.5,0.0,0.0,,13,False
4340,2026-07-28 00:00:00+00:00,41.1,28.5,36.91,34.8,39.0,22.3,16.0,2.65,8.3,0.0,0.0,,13,False
4347X,2026-07-28 00:00:00+00:00,39.7,31.7,36.04,35.7,23.0,19.4,15.0,3.15,9.2,0.0,0.0,,13,False
4358X,2026-07-28 00:00:00+00:00,40.8,28.7,36.32,34.75,34.0,22.7,12.0,1.22,6.4,0.0,0.0,550.0,13,False
4362X,2026-07-28 00:00:00+00:00,39.6,30.0,35.92,34.8,28.0,17.4,13.0,3.81,10.9,0.0,0.0,,13,False
4395X,2026-07-28 00:00:00+00:00,39.7,29.7,36.09,34.7,41.0,18.9,12.0,2.84,8.7,0.0,0.0,,13,False
4410X,2026-07-28 00:00:00+00:00,40.0,30.4,36.26,35.2,35.0,23.2,18.0,3.82,9.9,0.0,0.0,,13,False
4411C,2026-07-28 00:00:00+00:00,40.0,31.5,37.14,35.75,16.0,10.8,8.0,3.91,10.2,0.0,0.0,,10,False
4427X,2026-07-28 00:00:00+00:00,40.5,28.8,35.66,34.65,47.0,21.8,14.0,2.48,9.9,0.0,0.0,,13,False
4436Y,2026-07-28 00:00:00+00:00,40.9,30.0,36.59,35.45,39.0,20.0,14.0,3.3,9.2,0.0,0.0,,13,False
4442X,2026-07-28 00:00:00+00:00,40.0,29.7,36.12,34.85,44.0,24.4,18.0,3.55,10.9,0.0,0.0,,13,False
4452,2026-07-28 00:00:00+00:00,40.1,29.1,35.82,34.6,34.0,22.5,15.0,2.52,7.7,0.0,0.0,575.1,13,False
4464X,2026-07-28 00:00:00+00:00,40.1,28.0,35.26,34.05,52.0,26.5,19.0,2.49,7.3,0.0,0.0,,13,False
4468X,2026-07-28 00:00:00+00:00,38.1,29.8,34.82,33.95,33.0,19.6,15.0,3.89,9.4,0.0,0.0,,13,False
4478X,2026-07-28 00:00:00+00:00,40.8,28.8,36.08,34.8,42.0,27.3,19.0,2.37,7.0,0.0,0.0,,13,False
4486X,2026-07-28 00:00:00+00:00,40.4,27.8,35.93,34.1,39.0,24.3,18.0,4.23,12.0,0.0,0.0,,13,False
4489X,2026-07-28 00:00:00+00:00,38.4,27.4,34.01,32.9,47.0,31.2,22.0,4.36,11.3,0.0,0.0,,13,False
4492F,2026-07-28 00:00:00+00:00,40.3,27.8,35.73,34.05,48.0,22.2,14.0,3.02,10.1,0.0,0.0,,13,False
4497X,2026-07-28 00:00:00+00:00,38.8,28.0,34.83,33.4,48.0,26.2,17.0,4.49,10.1,0.0,0.0,,13,False
4499X,2026-07-28 00:00:00+00:00,36.1,26.6,32.59,31.35,50.0,28.6,21.0,2.79,9.1,0.0,0.0,,13,False
4501X,2026-07-28 00:00:00+00:00,38.4,26.1,33.83,32.25,53.0,26.5,18.0,3.82,9.8,0.0,0.0,,13,False
4511C,2026-07-28 00:00:00+00:00,40.4,27.4,35.23,33.9,52.0,23.5,13.0,4.57,12.6,0.0,0.0,596.0,13,False
4520X,2026-07-28 00:00:00+00:00,38.1,24.6,33.3,31.35,57.0,28.9,18.0,1.77,7.0,0.0,0.0,,13,False
4541X,2026-07-28 00:00:00+00:00,38.9,27.9,34.78,33.4,59.0,35.3,22.0,,,0.0,0.0,,11,False
4549Y,2026-07-28 00:00:00+00:00,32.9,24.0,28.3,28.45,85.0,62.2,35.0,2.53,7.3,0.0,0.0,,13,False
4554X,2026-07-28 00:00:00+00:00,32.5,23.9,28.16,28.2,83.0,62.3,39.0,2.61,6.3,0.0,0.0,,12,False
4560Y,2026-07-28 00:00:00+00:00,37.3,29.7,34.28,33.5,24.0,19.4,16.0,2.78,7.5,0.0,0.0,300.0,5,False
4575X,2026-07-28 00:00:00+00:00,37.2,22.9,31.15,30.05,82.0,42.6,18.0,4.0,9.7,0.0,0.0,,13,False
4584X,2026-07-28 00:00:00+00:00,38.1,27.3,34.25,32.7,60.0,33.5,22.0,,,0.0,0.0,,11,False
4589X,2026-07-28 00:00:00+00:00,36.1,23.7,31.21,29.9,79.0,45.9,25.0,4.51,11.1,0.0,0.0,,13,False
4608X,2026-07-28 00:00:00+00:00,36.8,23.2,31.58,30.0,78.0,38.6,19.0,2.96,9.1,0.0,0.0,,13,False
4622X,2026-07-28 00:00:00+00:00,37.8,30.6,35.09,34.2,38.0,26.4,19.0,3.69,8.9,0.0,0.0,,7,False
4642E,2026-07-28 00:00:00+00:00,35.0,24.7,29.95,29.85,81.0,55.2,30.0,4.02,11.0,0.0,0.0,596.3,13,False
5000D,2026-07-28 00:00:00+00:00,29.3,24.4,26.88,26.85,93.0,82.1,75.0,3.19,8.6,0.0,0.0,488.9,13,False
5006X,2026-07-28 00:00:00+00:00,36.1,21.2,31.22,28.65,59.0,29.5,15.0,1.46,6.6,0.0,0.0,,13,False
5038Y,2026-07-28 00:00:00+00:00,40.1,25.2,34.87,32.65,56.0,30.8,21.0,,,0.0,0.0,,12,False
5051X,2026-07-28 00:00:00+00:00,36.2,24.9,31.81,30.55,43.0,20.9,12.0,2.15,7.5,0.0,0.0,495.0,13,False
5060X,2026-07-28 00:00:00+00:00,31.3,23.9,28.89,27.6,47.0,33.4,25.0,,,0.0,0.0,,11,False
5103E,2026-07-28 00:00:00+00:00,27.9,20.3,24.57,24.1,37.0,30.1,25.0,2.31,6.3,,,,13,False
5103F,2026-07-28 00:00:00+00:00,33.4,23.1,29.09,28.25,37.0,27.7,21.0,2.26,6.7,,,,13,False
5107D,2026-07-28 00:00:00+00:00,33.0,23.5,29.22,28.25,53.0,30.8,20.0,6.99,13.5,0.0,0.0,,13,False
5112X,2026-07-28 00:00:00+00:00,38.0,25.3,32.34,31.65,50.0,28.4,16.0,3.49,10.4,0.0,0.0,,13,False
