indicativo,fecha,tmax,tmin,tmed,tmed_derivada,hrMax,hrMedia,hrMin,velmedia,racha,prec,prec_0707,sol,n_horas,completo
9918Y,2026-07-28 00:00:00+00:00,37.6,24.8,32.68,31.2,62.0,39.2,25.0,2.02,5.9,0.0,0.0,,12,False
9924X,2026-07-28 00:00:00+00:00,38.3,28.2,33.58,33.25,57.0,42.4,32.0,3.64,10.0,0.0,0.0,,12,False
9935X,2026-07-28 00:00:00+00:00,35.8,25.3,32.46,30.55,55.0,40.1,33.0,2.06,7.4,0.0,0.0,,12,False
9946X,2026-07-28 00:00:00+00:00,33.9,28.3,31.65,31.1,48.0,43.6,39.0,,,0.0,0.0,,11,False
9947X,2026-07-28 00:00:00+00:00,35.2,26.3,31.6,30.75,61.0,44.2,33.0,3.42,11.1,0.0,0.0,,11,False
9961X,2026-07-28 00:00:00+00:00,35.3,26.7,32.3,31.0,62.0,45.5,37.0,2.19,9.9,0.0,0.0,,11,False
9975X,2026-07-28 00:00:00+00:00,32.7,25.9,30.56,29.3,76.0,54.5,43.0,4.75,10.5,0.0,0.0,,11,False
9981A,2026-07-28 00:00:00+00:00,36.3,26.8,32.17,31.55,63.0,48.8,34.0,4.03,9.5,0.0,0.0,571.1,12,False
9987P,2026-07-28 00:00:00+00:00,29.3,25.2,27.5,27.25,91.0,80.4,73.0,5.28,9.5,0.0,0.0,,12,False
9988B,2026-07-28 00:00:00+00:00,22.4,14.5,18.42,18.45,57.0,43.1,29.0,2.45,12.3,,,,13,False
9990X,2026-07-28 00:00:00+00:00,35.0,20.4,30.22,27.7,51.0,28.0,18.0,1.78,7.2,0.0,0.0,,12,False
9994X,2026-07-28 00:00:00+00:00,34.2,22.0,30.82,28.1,68.0,40.7,28.0,1.35,7.7,0.0,0.0,,11,False
9995Y,2026-07-28 00:00:00+00:00,37.1,22.8,30.72,29.95,74.0,45.2,21.0,2.28,8.5,0.0,0.0,,12,False
