indicativo,lat,lon,alt,ubi
3104Y,40.889686,-3.888285,1159.0,EL PAULAR- RASCAFRÍA (AUTOMÁTICA)
3110C,41.006986,-3.613809,1030.0,BUITRAGO
3111D,41.135786,-3.580198,1453.8,SOMOSIERRA
3121F,40.801582,-3.624662,918.2,VENTURADA
3125Y,40.55,-3.616667,672.0,SAN SEBASTIAN DE LOS REYES
3126Y,40.561385,-3.711944,740.0,EL GOLOSO (AUTOMÁTICA)
3129,40.466559,-3.555593,609.0,MADRID/BARAJAS
3129A,40.465278,-3.579722,631.0,MADRID BARAJAS RS.
3130C,41.086277,-2.617927,1005.0,SIGÜENZA
3140Y,40.985075,-2.75988,990.0,MANDAYONA
3158D,41.274167,-3.142474,1368.0,EVC_CAMPISABALOS
3168D,40.630282,-3.150278,727.44,GUADALAJARA
3170Y,40.52836,-3.289711,605.0,ALCALA DE HENARES-ENCÍN
3182Y,40.311667,-3.497784,533.0,ARGANDA DEL REY
3191E,40.696067,-3.765135,1004.0,COLMENAR VIEJO/FAMET
3194U,40.451671,-3.724167,664.0,MADRID  C. UNIVERSITARIA
3194Y,40.448438,-3.813369,665.0,POZUELO DE ALARCON (AUTOMÁTICA)
3195,40.411389,-3.677778,667.0,MADRID RETIRO
3209Y,40.765198,-2.874063,835.0,BRIHUEGA
3229Y,40.247225,-3.311671,594.0,TIELMES
3245Y,39.696114,-3.505837,635.0,TEMBLEQUE
3254Y,39.686888,-3.780687,717.0,MORA DE TOLEDO (AUTOMÁTICA)
3260B,39.884722,-4.045278,512.69,TOLEDO
3266A,40.706512,-4.141341,1530.5,ALTO DEL LEÓN
3268C,40.659724,-4.017505,924.0,ALPEDRETE
3305Y,39.630556,-4.476945,750.0,NAVAHERMOSA
3319D,40.339665,-5.012748,1285.0,PUERTO EL PICO
3330Y,40.313051,-4.487227,890.0,ROZAS DE PUERTO REAL
3337U,40.467501,-4.455763,850.0,CEBREROS
3338,40.428509,-4.248613,770.0,ROBLEDO DE CHAVELA
3343Y,40.496662,-4.061107,884.0,VALDEMORILLO
3365A,39.958608,-4.863596,372.0,TALAVERA DE LA REINA
3386A,39.591662,-5.391666,923.0,NAVALVILLAR DE IBOR
3394X,40.310924,-4.70945,667.0,PIEDRALAVES
3422D,40.139198,-5.311326,350.0,CANDELEDA (AUTOMATICA)
3423I,40.153888,-5.373329,464.0,MADRIGAL DE LA VERA
3427Y,39.993338,-5.114443,345.0,OROPESA DEHESÓN DEL  ENCINAR
3434X,39.945759,-5.582629,269.0,NAVALMORAL DE LA MATA
3436D,40.111111,-5.784718,690.0,GARGANTA LA OLLA
3448X,39.820718,-6.127483,406.0,SERRADILLA (AUTOMATICA)
3455X,39.669948,-5.808349,559.0,JARAICEJO
3463Y,39.464167,-5.874167,523.0,TRUJILLO
3469A,39.471389,-6.338889,393.98,CÁCERES
3475X,39.790559,-6.376392,373.0,CAÑAVERAL
3484X,40.504722,-5.9025,683.0,SAN ESTEBAN DE LA SIERRA
3494U,40.40809,-6.239733,470.0,NUÑOMORAL
3503,40.189444,-6.1675,393.0,GUIJO DE GRANADILLA
3504X,40.265086,-5.861212,724.0,HERVAS
3512X,40.08083,-6.338888,351.0,MONTEHERMOSO
3514B,40.258612,-5.678336,991.0,TORNAVACAS
3516X,40.120781,-5.832386,1260.0,PIORNAL (AUTOMATICA)
3518X,40.061944,-6.045278,371.18,PLASENCIA - PRESA DEL JERTE
3526X,40.003539,-6.557527,313.0,CORIA
3531X,40.254924,-6.411707,459.0,TORRECILLA DE LOS ANGELES
3536X,40.174832,-6.724444,560.0,HOYOS
3540X,39.871388,-6.860004,336.0,ZARZA LA MAYOR
3547X,40.207224,-6.896107,450.0,VALVERDE DE FRESNO
3562X,39.4275,-6.736389,321.0,ALISEDA  LA UMBRÍA
3565X,39.61806,-6.744998,425.0,BROZAS (AUTOMATICA)
3576X,39.414861,-7.231135,444.0,VALENCIA DE ALCÁNTARA
4007Y,38.965833,-2.745006,905.0,OSSA DE MONTIEL
4051Y,40.061113,-2.80695,875.0,ALCÁZAR DEL REY
4061X,39.597138,-3.048227,691.0,QUINTANAR DE LA ORDEN
4064Y,39.390829,-3.215832,640.0,ALCAZAR DE SAN JUAN
4067,39.492064,-3.528358,690.0,MADRIDEJOS
4070Y,40.018782,-2.395207,1020.0,ABIA DE OBISPALIA
4075Y,39.840279,-2.503334,870.0,VILLARES DEL SAZ
4089A,39.516972,-2.49575,857.5,ALBERCA DE ZANCARA
4090Y,39.416736,-2.420691,728.0,SAN CLEMENTE
4091Y,39.261894,-2.592567,718.0,VILLARROBLEDO
4093Y,39.656115,-2.759997,763.0,OSA DE LA VEGA (AUTOMÁTICA)
4095Y,39.555281,-2.705556,745.0,BELMONTE
4096Y,39.016663,-2.488886,918.0,MUNERA  SAN BARTOLOMÉ (AUTOMÁTICA)
4103X,39.169045,-3.00749,662.0,TOMELLOSO
4116I,38.950833,-3.741944,626.5,ALMAGRO/FAMET
4121,38.989167,-3.920278,626.17,CIUDAD REAL
4138Y,38.737497,-3.004441,900.0,VILLANUEVA DE LOS INFANTES
4147X,38.750423,-3.391368,700.0,VALDEPEÑAS
4148,38.518051,-3.566725,804.0,VISO DEL MARQUÉS
4193Y,39.217045,-4.282654,587.1,EL ROBLEDO
4195E,39.32091,-4.394988,651.0,ALCORNOQUERA  PARQUE NACIONAL CABAÑEROS
4210Y,38.898055,-4.291943,718.0,ABENOJAR (AUTOMATICA)
4220X,39.083623,-4.622035,531.48,PUEBLA DE DON RODRIGO
4236Y,39.450439,-5.026459,689.04,PUERTO DEL REY
4244X,39.169355,-5.062271,447.0,HERRERA DEL DUQUE
4245X,39.455271,-5.333333,660.0,GUADALUPE (AUTOMATICA)
4260,38.479719,-5.577502,542.0,PERALEDA DEL ZAUCEJO
4263X,38.409448,-5.350555,575.0,VALSEQUILLO
4267X,38.498369,-5.121442,551.0,HINOJOSA DEL DUQUE
4300Y,38.775284,-4.845277,535.0,MINAS DE ALMADÉN
4325Y,38.741813,-5.529083,459.0,CASTUERA
4339X,39.314167,-5.369009,590.0,CAÑAMERO  EL PINAR
4340,39.103459,-5.461334,313.0,NAVALVILLAR DE PELA
4347X,39.282781,-5.710276,413.0,ZORITA
4358X,38.95559,-5.880481,273.0,DON BENITO
4362X,38.576493,-5.845813,474.1,RETAMAL DE LLERENA 
4395X,38.551667,-6.306664,430.0,VILLAFRANCA DE LOS BARROS
4410X,38.915884,-6.385632,228.0,MÉRIDA
4411C,39.197636,-6.231012,467.0,ALCUESCAR
4427X,38.425855,-6.436641,433.0,ZAFRA (AUTOMATICA)
4436Y,38.688902,-6.361046,371.0,ALMENDRALEJO
4442X,38.618611,-6.6275,345.0,SANTA MARTA DE LOS BARROS
4452,38.883396,-6.81389,185.5,BADAJOZ/TALAVERA LA REAL
4464X,39.181934,-6.995182,283.0,ALBURQUERQUE
4468X,39.176623,-6.600769,392.0,PUEBLA DE OBANDO (AUTOMATICA)
4478X,38.886205,-7.00948,173.7,BADAJOZ UNIVERSIDAD
4486X,38.697503,-7.084439,275.0,OLIVENZA
4489X,38.484719,-7.28194,170.0,ALCONCHEL (AUTOMATICA)
4492F,38.472778,-6.923333,377.0,EVC_BARCARROTA
4497X,38.372219,-7.158056,247.0,VILLANUEVA DEL FRESNO
4499X,38.081296,-6.271862,771.0,MONESTERIO (AUTOMATICA)
4501X,38.20874,-6.311317,602.0,FUENTE DE CANTOS
4511C,38.298514,-6.765058,381.0,JEREZ DE LOS CABALLEROS
4520X,38.178438,-6.661793,586.0,FREGENAL DE LA SIERRA
4541X,37.553656,-7.51994,60.0,EL GRANADO (BOCACHANZA - AUTOMÁTICA)
4549Y,37.194607,-7.394971,2.63,AYAMONTE  ISLA CANELA
4554X,37.218334,-7.08361,15.0,CARTAYA   PEMARES 
4560Y,37.868615,-6.674999,572.0,ALAJAR  CABEZO MOLINOS
4575X,37.575348,-6.767767,280.4,VALVERDE CAMINO (CH.GUADIANA AUTOMATICA)
4584X,37.731577,-6.942237,270.0,EL CERRO DE ANDEVALO
4589X,37.597782,-7.11944,276.0,ALOSNO  THARSIS-MINAS 
4608X,37.677226,-6.630003,415.0,EL CAMPILLO  EL ZUMAJO 
4622X,37.450835,-6.636671,145.0,VILLARRASA  PLANTA DE RECICLAJE
4642E,37.278412,-6.911696,17.59,HUELVA  RONDA ESTE
5000D,35.889167,-5.340556,55.4,CEUTA LOMA LARGA
5006X,37.921111,-2.929722,981.5,CAZORLA VADILLO
5038Y,37.915837,-3.003891,799.0,CAZORLA (AUTOMATICA)
5051X,37.861389,-2.652778,1100.5,HUÉSCAR
5060X,37.860832,-2.228056,1190.0,TOPARES
5103E,37.158333,-3.256944,2151.69,CAMARATE 2  PARQUE NACIONAL SIERRA NEVADA
5103F,37.191027,-3.254022,1534.04,CAMARATE  PARQUE NACIONAL SIERRA NEVADA
